Champion,QName,QDescription,WName,WDescription,EName,EDescription,RName,RDescription,PName,PDescription
Azir,Conquering Sands,Azir sends all Sand Soldiers towards a location. Sand Soldiers deal magic damage to enemies they pass through and apply a slow for 1 second.,Arise!,"Azir summons a Sand Soldier to attack nearby targets for him, replacing his basic attack against targets within the soldier's range. Their attacks deal magic damage to enemies in a line. Arise! also passively grants attack speed to Azir and his Sand Soldiers.",Shifting Sands,"Azir shields himself briefly and dashes to one of his Sand Soldiers, damaging enemies. If he hits an enemy champion, he instantly readies a new Sand Soldier for deployment and halts his dash.",Emperor's Divide,"Azir summons a wall of soldiers which charge forward, knocking back and damaging enemies.",Shurima's Legacy,Azir can summon the Disc of the Sun from the ruins of allied or enemy turrets.
Briar,Head Rush,"Briar leaps to a unit and hits enemies with The Heel Wheel (of Pain), stunning them and breaking their Armor.",Blood Frenzy / Snack Attack,"Briar leaps forward and shatters her pillory, entering a Blood Frenzy that causes her to relentlessly pursue the nearest enemy (prioritizing champions). While frenzied, she gains increased Attack Speed and Move Speed, and her attacks deal damage in an area around her target.  Briar can reactivate this ability while frenzied to take a CHOMP out of her target on her next attack, dealing additional damage based on their missing Health, and healing Briar based on the damage she deals.",Chilling Scream,"Briar refocuses her mind, removing Blood Frenzy and channeling energy into a powerful scream that damages and slows enemies. While charging, she takes reduced damage and heals for a portion of her max Health. A fully charged scream knocks foes back, dealing additional damage and stunning those who collide with a wall.",Certain Death,"Briar kicks her pillory's hemolith gemstone, marking the first champion it hits as her prey. She then beelines straight to them, fearing other surrounding enemies upon arriving at her target, and enters a state of complete hemomania. She will pursue her prey until death, gaining the benefits of Blood Frenzy as well as additional Armor, Magic Resistance, Life Steal, and Move Speed.",Crimson Curse,"Briar's attacks and abilities apply a stacking bleed that heals her for a portion of the damage it deals. Perpetually hungry, she gains increased healing based on her missing Health, but lacks innate Health Regeneration."
Rammus,Powerball,"Rammus accelerates in a ball towards his enemies, dealing damage and slowing targets affected by the impact.",Defensive Ball Curl,"Rammus goes into a defensive formation, vastly increasing his Armor and Magic Resistance, amplifying Spiked Shells' damage, and returning damage to enemies that basic attack him.",Frenzying Taunt,"Rammus taunts an enemy champion or monster into a reckless assault against him. Additionally, he gains increased Attack Speed for a short time, but this bonus is extended by having any of his other spells active.",Soaring Slam,"Rammus hops into the air and slams down at a target area, dealing magic damage and slowing enemies. If cast while Rammus is in Powerball, Rammus knocks up enemies near the center as well.",Spiked Shell,"Rammus' basic attacks deal bonus magic damage, scaling with his Armor."
Poppy,Hammer Shock,"Poppy swings her hammer, dealing damage and creating a zone that will slow enemies and explode after a delay.",Steadfast Presence,"Poppy passively gains Armor and Magic Resist. This bonus increases when she is low on Health. Poppy can activate Steadfast Presence to gain Move Speed and stop enemy dashes around her. If a dash is stopped, the enemy is slowed and grounded.",Heroic Charge,"Poppy dashes to the target and pushes it back. If the target is pushed into a wall, it is stunned.",Keeper's Verdict,Poppy channels a hammer strike that knocks enemies very far away.,Iron Ambassador,Poppy throws her buckler that bounces off the target. Poppy can pick it up to gain a temporary shield.
Gragas,Barrel Roll,"Gragas rolls his cask to a location, which can be activated to explode or will explode on its own after 4 seconds. The potency of the explosion increases over time. Enemies struck by the blast have their Move Speed slowed.",Drunken Rage,"Gragas guzzles down brew from his cask for 1 second. After finishing, he becomes drunkenly empowered, dealing magic damage to all nearby enemies on his next basic attack and reducing damage received.",Body Slam,"Gragas charges to a location and collides with the first enemy unit he comes across, dealing damage to all nearby enemy units and stunning them.",Explosive Cask,"Gragas hurls his cask to a location, dealing damage and knocking back enemies caught in the blast radius.",Happy Hour,Gragas periodically heals upon using a skill.
Viego,Blade of the Ruined King,"Viego's spectral blade passively deals bonus percent current Health damage <OnHit>On-Hit</OnHit> and strikes twice vs. enemies he recently hit with an Ability, stealing Health.  Viego can activate this Ability to thrust his zweihander forward, impaling enemies in front of him.",Spectral Maw,"Viego charges up before dashing forward, releasing a ball of concentrated Black Mist that stuns the first enemy hit.",Harrowed Path,"Viego commands the Black Mist to haunt and surround a piece of terrain. Viego can hide in the Mist as a wraith, gaining camouflage, Move Speed, and Attack Speed.",Heartbreaker,"Viego teleports to a nearby location and executes an enemy champion on arrival, piercing their heart and causing a destructive shockwave around them that knocks away their allies.",Sovereign's Domination,"Enemies who fall before Viego become wraiths. By attacking a wraith, Viego temporarily seizes control of the dead enemy's body, healing for a percentage of his target's max health and gaining access to their basic abilities and items. He replaces their Ultimate with a free cast of his own."
Gwen,Snip Snip!,Gwen snips her scissors in a cone up to 6 times dealing magic damage. Gwen deals true damage to units in the center and applies her passive to them on each snip.,Hallowed Mist,Gwen summons mist that protects her from enemies outside of it. She can only be targeted by enemies who enter the mist.,Skip 'n Slash,"Gwen dashes a short distance then gains Attack Speed, attack range, and magic damage <OnHit>On-Hit</OnHit> for a few seconds. If she hits an enemy during that time, this Ability's cooldown is partially refunded. ",Needlework,"Gwen hurls a needle that slows enemies hit, deals magic damage, and applies A Thousand Cuts to champions hit. This ability can be cast up to two more times, with each cast throwing additional needles and dealing more damage. Gwen must hit an enemy between each cast to unlock the next one. ",A Thousand Cuts,Gwen's attacks deal bonus magic damage based on the targets health. She heals for a portion of the damage dealt to champions by this effect. 
Jinx,Switcheroo!,"Jinx modifies her basic attacks by swapping between Pow-Pow, her minigun and Fishbones, her rocket launcher. Attacks with Pow-Pow grant Attack Speed, while attacks with Fishbones deal area of effect damage, gain increased range, but drain Mana and attack slower.",Zap!,"Jinx uses Zapper, her shock pistol, to fire a blast that deals damage to the first enemy hit, slowing and revealing it.",Flame Chompers!,"Jinx throws out a line of snare grenades that explode after 5 seconds, lighting enemies on fire. Flame Chompers will bite enemy champions who walk over them, rooting them in place.",Super Mega Death Rocket!,"Jinx fires a super rocket across the map that gains damage as it travels. The rocket will explode upon colliding with an enemy champion, dealing damage to it and surrounding enemies based on their missing Health.",Get Excited!,"Jinx receives massively increased Move Speed and Attack Speed whenever she helps kill or destroy an enemy champions epic jungle monster, or structure."
Singed,Poison Trail,"Leaves a trail of poison behind Singed, dealing damage to enemies caught in the path.",Mega Adhesive,"Throws a vial of mega adhesive on the ground, slowing and grounding enemies who walk on it.",Fling,"Damages target enemy unit and flings them into the air behind Singed. If the target Singed flings lands in his Mega Adhesive, they are also rooted.",Insanity Potion,"Singed drinks a potent brew of chemicals, granting him increased combat stats, and making his Poison Trail apply Grievous Wounds.",Noxious Slipstream,"Singed drafts off nearby champions, gaining a burst of Move Speed when passing them."
Warwick,Jaws of the Beast,"Warwick lunges forward and bites his target, dealing damage based on their maximum health and healing for damage dealt.",Blood Hunt,"Warwick senses enemies below 50% health, gaining Move Speed toward and attack speed against them. When they fall below 20% health, he frenzies and these bonuses triple.",Primal Howl,"Warwick gains damage reduction for 2.5 seconds. At the end, or if re-activated, he howls, causing nearby enemies to flee for 1 second.",Infinite Duress,"Warwick leaps in a direction (scaling with his bonus Move Speed), suppressing the first champion he collides with for 1.5 seconds.",Eternal Hunger,"Warwick's basic attacks deal bonus magic damage. If Warwick is below 50% health, he heals the same amount. If Warwick is below 25% health, this healing triples."
Udyr,Wilding Claw,"Udyr gains attack speed and his next two attacks deal bonus physical damage. Recast: Gain even more attack speed, and the next two attacks call lightning to strike the target.",Iron Mantle,Udyr gains a shield and his next two attacks heal him. Recast: Gain an even bigger shield and heal based on max health over the next couple seconds.,Blazing Stampede,Udyr gains movement speed and his first attack against each target will Stun them. Recast: Gain even more movement speed and immunity to immobilizing effects for a couple seconds. ,Wingborne Storm,"Udyr surrounds himself in a glacial storm, damaging and slowing nearby enemies. Recast: Empower and unleash the storm, causing it to track enemies and deal additional damage.",Bridge Between,"Udyr has four basic Abilities that swap between Stances and can Recast an Ability to renew it with additional benefits. Additionally, after using an Ability, Udyr's next two Attacks gain Attack Speed."
Lux,Light Binding,Lux releases a sphere of light that binds and deals damage to up to two enemy units.,Prismatic Barrier,"Lux throws her wand and bends the light around any friendly target it touches, protecting them from enemy damage.",Lucent Singularity,"Fires an anomaly of twisted light to an area, which slows nearby enemies. Lux can detonate it to damage enemies in the area of effect.",Final Spark,"After gathering energy, Lux fires a beam of light that deals damage to all targets in the area. In addition, triggers Lux's passive ability and refreshes the Illumination debuff duration.",Illumination,"Lux's damaging spells charge the target with energy for a few seconds. Lux's next attack ignites the energy, dealing bonus magic damage (depending on Lux's level) to the target."
Elise,Neurotoxin / Venomous Bite,Human Form: Deals damage based upon how high the target's Health is.  Spider Form: Lunges at an enemy and deals damage based upon how low their Health is.,Volatile Spiderling / Skittering Frenzy,Human Form: Releases a venom-gorged Spiderling that explodes when it nears a target.  Spider Form: Elise and her Spiderlings gain Attack Speed.,Cocoon / Rappel,"Human Form: Stuns the first enemy unit hit and reveals them if they are not stealthed.  Spider Form: Elise and her Spiderlings ascend into the air and then descend upon target enemy. After descending on an enemy target, Elise's bonus damage and healing from Spider Queen is increased.",Spider Form,"Transforms into a menacing spider, reducing her attack range in exchange for Move Speed, new abilities, and a Spiderling swarm that will attack her foes.",Spider Queen,"Human Form: When Elise's abilities hit an enemy, she gains a dormant Spiderling.  Spider Form: Basic attacks deal bonus magic damage and restore health to Elise."
Cassiopeia,Noxious Blast,"Cassiopeia blasts an area with Poison after a brief delay, granting her increased Move Speed if she hits an enemy champion.",Miasma,"Cassiopeia releases several clouds of poison, slowing, grounding, and lightly damaging enemies that pass through them. Grounded enemies cannot use Movement abilities.",Twin Fang,"Cassiopeia lets loose an attack that deals increased damage to Poisoned targets and heals her for a percentage of the damage dealt. If the target dies from this attack, Cassiopeia regains Mana.",Petrifying Gaze,"Cassiopeia releases a swirl of magical energy from her eyes, stunning any enemies in front of her that are facing her and slowing any others with their back turned.",Serpentine Grace,"Cassiopeia gains Move Speed per level, but she cannot purchase Boots items."
MissFortune,Double Up,"Miss Fortune fires a bullet at an enemy, damaging them and a target behind them. Both strikes can also apply Love Tap.",Strut,"Miss Fortune passively gains Move Speed when not attacked. This ability can be activated to grant bonus Attack Speed for a short duration. While it's on cooldown, Love Taps reduce the remaining cooldown of Strut.",Make It Rain,"Miss Fortune reveals an area with a flurry of bullets, dealing waves of damage to opponents and slowing them.",Bullet Time,"Miss Fortune channels a barrage of bullets into a cone in front of her, dealing large amounts of damage to enemies. Each wave of Bullet Time can critically strike",Love Tap,Miss Fortune deals bonus physical damage whenever she basic attacks a new target.
Ryze,Overload,"Passively, Ryze's other basic abilities reset the cooldown of Overload and charge a rune. When Ryze casts Overload with 2 runes charged, he gains a brief burst of Move Speed.  On cast, Ryze throws a charge of pure energy in a line, dealing damage to the first enemy struck. If the target has Flux on it, Overload deals extra damage and bounces to nearby enemies with Flux.",Rune Prison,"Ryze traps a target in a cage of runes, damaging them and slowing their movement. If the target has Flux on it, they are instead rooted.",Spell Flux,Ryze releases an orb of pure magical power that damages an enemy and debuffs all nearby enemies. Ryze's spells have additional effects against the debuffed enemy.,Realm Warp,"Passively, Overload deals even more damage against targets with Flux.  On cast, Ryze creates a portal to a nearby location. After a few seconds, allies standing near the portal are teleported to the target location.",Arcane Mastery,"<mainText>Ryze's spells deal extra damage based on his Bonus Mana, and he gains a percentage increase to his maximum Mana based on his Ability Power.</mainText>"
Milio,Ultra Mega Fire Kick,"Kick a ball that knocks back an enemy. The ball launches upward on hit and falls toward the enemy, damaging and slowing enemies in the area upon impact.",Cozy Campfire,Create an empowering zone that heals allies and increases attack range to those inside. The zone follows the ally nearest to the cast point.,Warm Hugs,"Milio tosses a shield to an ally, temporarily increasing their movement speed. This ability has 2 charges.",Breath of Life,Milio unleashes a wave of soothing flames that heal and remove crowd control effects from allies in range.,Fired Up!,"Milio's abilities enchant allies on touch, making their next damage deal a burst of extra damage and burn the target."
Vladimir,Transfusion,"Vladimir steals life from the target enemy. When Vladimir's resource is full, Transfusion will benefit from massively increased damage and healing for a brief time.",Sanguine Pool,"Vladimir sinks into a pool of blood, becoming untargetable for 2 seconds. Additionally, enemies on the pool are slowed and Vladimir siphons life from them.",Tides of Blood,"Vladimir pays his own health to charge up a reservoir of blood which, when released, deals damage in the area around him but can be blocked by enemy units.",Hemoplague,"Vladimir infects an area with a virulent plague. Affected enemies take increased damage for the duration. After a few seconds, Hemoplague deals magic damage to infected enemies and heals Vladimir for each enemy Champion hit.",Crimson Pact,Every 30 points of bonus Health gives Vladimir 1 Ability Power and every 1 point of Ability Power gives Vladimir 1.6 bonus Health (does not stack with itself).
Nilah,Formless Blade,"With a snap of her whip-blade, Nilah damages any enemies she hits in a straight line in her chosen direction. This action extends her attack range for a short duration.",Jubilant Veil,"Nilah envelops herself in mist, increasing her movement speed and allowing her to gracefully dodge all incoming attacks. Any allies she touches during the mist's duration will also gain this effect.",Slipstream,"Nilah enthusiastically dashes toward her target, dealing damage to any enemies she passes through on the way.",Apotheosis,"Twirling her whip-blade in joyful exuberance, Nilah deals damage to enemies around her before pulling them closer with her weapon.",Joy Unending,Nilah gains increased experience from last-hitting minions along with the ability to enhance and share nearby healing and shielding from her allies.
Leblanc,Sigil of Malice,"LeBlanc projects a sigil, dealing damage and marking the target for 3.5 seconds. Damaging the marked target with an ability detonates the sigil, dealing additional damage. If either part kills the target, Leblanc refunds the Mana cost and part of this spell's remaining Cooldown.",Distortion,"LeBlanc dashes to a location, dealing damage to enemies near her destination. For the next 4 seconds, activate Distortion again to return LeBlanc to her starting location.",Ethereal Chains,"LeBlanc launches a chain that shackles the first enemy hit. If the target remains shackled for 1.5 seconds, LeBlanc roots them and deals additional damage.",Mimic,LeBlanc casts a mimicked version of one of her basic spells.,Mirror Image,"When LeBlanc drops below 40% Health, she becomes invisible for 1 second and creates a Mirror Image that deals no damage and lasts for up to 8 seconds."
Draven,Spinning Axe,"Draven's next attack will deal bonus physical damage. This axe will ricochet off the target high up into the air. If Draven catches it, he automatically readies another Spinning Axe. Draven can have two Spinning Axes at once.",Blood Rush,Draven gains increased Move Speed and Attack Speed. The Move Speed bonus decreases rapidly over its duration. Catching a Spinning Axe will refresh the cooldown of Blood Rush.,Stand Aside,"Draven throws his axes, dealing physical damage to targets hit and knocking them aside. Targets hit are slowed.",Whirling Death,Draven hurls two massive axes to deal physical damage to each unit struck. Whirling Death slowly reverses direction and returns to Draven after striking an enemy champion. Draven may also activate this ability while the axes are in flight to cause it to return early. Deals less damage for each unit hit and resets when the axes reverse direction. Executes enemies who have less health than Draven's number of Adoration stacks.,League of Draven,"Draven gains his fans' Adoration when he catches a Spinning Axe or kills a minion, monster, or tower. Killing enemy champions grants Draven bonus gold based on how much Adoration he has."
Thresh,Death Sentence,Thresh binds an enemy in chains and pulls them toward him. Activating this ability a second time pulls Thresh to the enemy.,Dark Passage,Thresh throws out a lantern that shields nearby allied Champions from damage. Allies can click the lantern to dash to Thresh.,Flay,"Thresh's attacks wind up, dealing more damage the longer he waits between attacks. When activated, Thresh sweeps his chain, knocking all enemies hit in the direction of the blow.",The Box,A prison of walls that slow and deal damage if broken.,Damnation,"Thresh can harvest the souls of enemies that die near him, permanently granting him Armor and Ability Power."
Xayah,Double Daggers,Xayah throws two damaging daggers that also drop Feathers she can recall.,Deadly Plumage,Xayah creates a storm of blades that increase her Attack Speed and damage while also granting her Move Speed if she attacks a champion.,Bladecaller,Xayah calls back all her dropped Feathers dealing damage and rooting enemies.,Featherstorm,"Xayah leaps into the air becoming untargetable and throwing out a fan of daggers, dropping Feathers she can recall.",Clean Cuts,"After using an ability, Xayah's next basic attacks will hit all targets along their path and leave a <font color='#C200E1'>Feather</font>."
Rumble,Flamespitter,"Rumble torches opponents in front of him, dealing magic damage in a cone for 3 seconds. While in Danger Zone this damage is increased.",Scrap Shield,"Rumble pulls up a shield, protecting him from damage and granting him a quick burst of speed. While in Danger Zone, the shield strength and speed bonus is increased.",Electro Harpoon,"Rumble launches a harpoon, electrocuting his target with magic damage, slowing their Move Speed, and reducing their Magic Resist. Rumble can carry 2 harpoons at a time. While in Danger Zone the damage and slow percentage is increased.",The Equalizer,"Rumble fires off a group of rockets, creating a wall of flames that damages and slows enemies.",Junkyard Titan,"Every spell Rumble casts gives him Heat. When he reaches 50% Heat he reaches Danger Zone, granting all his basic abilities bonus effects. When he reaches 100% Heat, he starts Overheating, gaining bonus Attack Speed and granting his basic attacks bonus damage, but making him unable to cast spells for a few seconds."
LeeSin,Sonic Wave / Resonating Strike,"Sonic Wave: Lee Sin projects a discordant wave of sound to locate his enemies, dealing physical damage to the first enemy it encounters. If Sonic Wave hits, Lee Sin can cast Resonating Strike for the next 3 seconds. Resonating Strike: Lee Sin dashes to the enemy hit by Sonic Wave, dealing physical damage based on the target's missing Health.",Safeguard / Iron Will,"Safeguard: Lee Sin rushes to target ally, shielding himself from damage. If the ally is a champion, they are also shielded. After using Safeguard, Lee Sin can cast Iron Will for the next 3 seconds. Iron Will: Lee Sin's intense training allows him to thrive in battle. For 4 seconds, Lee Sin gains Life Steal and Spell Vamp.",Tempest / Cripple,"Tempest: Lee Sin smashes the ground, sending out a shockwave that deals magic damage and reveals enemy units hit. If Tempest hits an enemy, Lee Sin can cast cripple for the next 3 seconds. Cripple: Lee Sin cripples nearby enemies damaged by Tempest, reducing their Move Speed for 4 seconds. Move Speed recovers gradually over the duration.",Dragon's Rage,"Lee Sin performs a powerful roundhouse kick launching his target back, dealing physical damage to the target and any enemies they collide with. Enemies the target collides with are knocked into the air for a short duration. This technique was taught to him by Jesse Perring, although Lee Sin does not kick players off the map.",Flurry,"After Lee Sin uses an ability, his next 2 basic attacks gain Attack Speed and return Energy."
Chogath,Rupture,"Ruptures the ground at target location, popping enemy units into the air, dealing damage and slowing them.",Feral Scream,"Cho'Gath unleashes a terrible scream at enemies in a cone, dealing magic damage and Silencing enemies for a few seconds.",Vorpal Spikes,"Cho'Gath's attacks release deadly spikes, dealing damage and slowing all enemy units in front of him.",Feast,"Devours an enemy unit, dealing a high amount of true damage. If the target is killed, Cho'Gath grows, gaining maximum Health.",Carnivore,"Whenever Cho'Gath kills a unit, he recovers Health and Mana. The values restored increase with Cho'Gath's level."
Zilean,Time Bomb,"Tosses a bomb to target area that sticks to units that come near it (prioritizes Champions). It detonates after 3 seconds, dealing area of effect damage. If a Time Bomb is detonated early by another Time Bomb, it also stuns enemies.",Rewind,"Zilean can prepare himself for future confrontations, reducing the cooldowns of his other basic abilities.",Time Warp,"Zilean bends time around any unit, decreasing an enemy's Move Speed or increasing an ally's Move Speed for a short time.",Chronoshift,"Zilean places a protective time rune on an allied champion, teleporting the champion back in time if they take lethal damage.",Time In A Bottle,"Zilean stores time as Experience and can grant it to his allies. When he has enough Experience to finish an ally's level up, he can right-click them to impart it. Zilean receives as much Experience as he gives."
Sion,Decimating Smash,"Sion charges a powerful swing in an area in front of himself that will deal damage to enemies when released. If he charges for enough time, enemies hit by the swing will also be knocked up and stunned.",Soul Furnace,"Sion shields himself and can reactivate after 3 seconds to deal Magic Damage to enemies nearby. When Sion kills enemies, he passively gains maximum Health.",Roar of the Slayer,"Sion fires a short range shockwave that damages and slows and reduces the Armor of the first enemy hit. If the shockwave hits a minion or monster, it will be knocked back, damaging, slowing, and reducing the Armor of all enemies that it passes through.",Unstoppable Onslaught,"Sion charges in a direction, ramping up speed over time. He can steer his charge slightly with the mouse cursor location. When he collides with an enemy he deals damage and knocks them up based on the distance he has charged.",Glory in Death,"After being killed, Sion will temporarily reanimate with rapidly decaying Health. His attacks become very rapid, heal him, and deal bonus damage based on his target's maximum Health."
